127.0.0.1 - - [24/Jul/2020:18:11:03 +0000] "GET /logs HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:11:18 +0000] "GET /logs HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:11:20 +0000] "GET / HTTP/1.1" 200 124 "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:12:00 +0000] "GET / HTTP/1.1" 200 124 "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:12:01 +0000] "GET /1 HTTP/1.1" 200 121 "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:12:03 +0000] "GET /logs HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.2"
127.0.0.1 - - [24/Jul/2020:18:12:18 +0000] "GET /logs HTTP/1.1" 200 - "-" "PostmanRuntime/7.26.2"
GET /1 200 - 8.755 ms - ::ffff:127.0.0.1 - 2020-07-26T17:58:39.346Z
GET / 200 - 31.607 ms - ::ffff:127.0.0.1 - 2020-07-26T17:59:12.078Z
GET /1 200 - 11.129 ms - ::ffff:127.0.0.1 - 2020-07-26T17:59:12.110Z
GET / 200 - 28.626 ms - ::ffff:127.0.0.1 - 2020-07-26T17:59:34.169Z
GET /1 200 - 8.974 ms - ::ffff:127.0.0.1 - 2020-07-26T17:59:34.208Z
GET / 200 - 31.005 ms - ::ffff:127.0.0.1 - 2020-07-26T18:01:15.694Z
GET /1 200 - 8.115 ms - ::ffff:127.0.0.1 - 2020-07-26T18:01:15.725Z
GET / 200 - 30.109 ms - ::ffff:127.0.0.1 - 2020-07-26T18:01:52.632Z
GET /1 200 - 3.833 ms - ::ffff:127.0.0.1 - 2020-07-26T18:01:52.645Z
GET / 200 - 30.484 ms - ::ffff:127.0.0.1 - 2020-07-26T18:02:21.628Z
GET /1 200 - 3.771 ms - ::ffff:127.0.0.1 - 2020-07-26T18:02:21.640Z
GET / 200 - 32.181 ms - ::ffff:127.0.0.1 - 2020-07-26T18:02:34.421Z
GET /1 200 - 3.922 ms - ::ffff:127.0.0.1 - 2020-07-26T18:02:34.432Z
POST /logs 200 - 15.671 ms - 127.0.0.1 - 2020-07-26T18:04:36.081Z
GET / 204 - 29.300 ms - 127.0.0.1 - 2020-07-26T18:04:45.754Z
GET /1 204 - 15.520 ms - 127.0.0.1 - 2020-07-26T18:04:48.832Z
POST / 400 - 62.421 ms - 127.0.0.1 - 2020-07-26T18:05:23.161Z
POST / 201 - 42.214 ms - 127.0.0.1 - 2020-07-26T18:06:07.822Z
GET / 200 - 22.689 ms - 127.0.0.1 - 2020-07-26T18:06:10.852Z
GET /2 200 - 31.394 ms - 127.0.0.1 - 2020-07-26T18:06:12.620Z
PUT /2 404 - 1.030 ms - 127.0.0.1 - 2020-07-26T18:06:23.536Z
PUT / 200 - 69.253 ms - 127.0.0.1 - 2020-07-26T18:06:32.531Z
GET / 200 - 21.173 ms - 127.0.0.1 - 2020-07-26T18:06:40.955Z
PUT / 400 - 14.794 ms - 127.0.0.1 - 2020-07-26T18:07:25.579Z
PUT / 200 - 105.014 ms - 127.0.0.1 - 2020-07-26T18:07:34.076Z
PUT / 400 - 1.420 ms - 127.0.0.1 - 2020-07-26T18:07:38.239Z
PUT / 500 - 3.071 ms - 127.0.0.1 - 2020-07-26T18:07:43.291Z
